"question_id","task","method","verdict","expected","j1"
"10","Variance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Kendall Correlation Coefficient","APPLICABLE","NOT_APPLICABLE","wrong"
"10","Variance Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Lilliefors Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Standard Deviation","APPLICABLE","NOT_APPLICABLE","wrong"
"10","Variance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Levene Test","APPLICABLE","APPLICABLE","correct"
"10","Variance Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"10","Variance Test","Mood Variance Test","NOT_APPLICABLE","APPLICABLE","wrong"
"11","Distribution Compliance Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Anderson-Darling Test","NOT_APPLICABLE","APPLICABLE","wrong"
"11","Distribution Compliance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Lilliefors Test","NOT_APPLICABLE","APPLICABLE","wrong"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test","APPLICABLE","NOT_APPLICABLE","wrong"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","APPLICABLE","wrong"
"11","Distribution Compliance Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Median","APPLICABLE","NOT_APPLICABLE","wrong"
"11","Distribution Compliance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"11","Distribution Compliance Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Anderson-Darling Test","APPLICABLE","APPLICABLE","correct"
"12","Distribution Compliance Test","Shapiro-Wilk Test of Normality","APPLICABLE","NOT_APPLICABLE","wrong"
"12","Distribution Compliance Test","Lilliefors Test","APPLICABLE","APPLICABLE","correct"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","APPLICABLE","APPLICABLE","correct"
"12","Distribution Compliance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test","APPLICABLE","NOT_APPLICABLE","wrong"
"12","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Skewness","APPLICABLE","NOT_APPLICABLE","wrong"
"12","Distribution Compliance Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"12","Distribution Compliance Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Lilliefors Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Fisher Exact Test","NOT_APPLICABLE","APPLICABLE","wrong"
"13","Contingency Table Test","Chi-square Independence Test","APPLICABLE","APPLICABLE","correct"
"13","Contingency Table Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"13","Contingency Table Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Pearson Correlation Coefficient","APPLICABLE","NOT_APPLICABLE","wrong"
"14","Distribution Compliance Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Anderson-Darling Test","APPLICABLE","APPLICABLE","correct"
"14","Distribution Compliance Test","Shapiro-Wilk Test of Normality","APPLICABLE","NOT_APPLICABLE","wrong"
"14","Distribution Compliance Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","APPLICABLE","APPLICABLE","correct"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test","APPLICABLE","NOT_APPLICABLE","wrong"
"14","Distribution Compliance Test","Lilliefors Test","APPLICABLE","APPLICABLE","correct"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Mean","APPLICABLE","NOT_APPLICABLE","wrong"
"14","Distribution Compliance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Standard Deviation","APPLICABLE","NOT_APPLICABLE","wrong"
"14","Distribution Compliance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Skewness","APPLICABLE","NOT_APPLICABLE","wrong"
"14","Distribution Compliance Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"14","Distribution Compliance Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Lilliefors Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Fisher Exact Test","APPLICABLE","APPLICABLE","correct"
"15","Contingency Table Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Chi-square Independence Test","APPLICABLE","APPLICABLE","correct"
"15","Contingency Table Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"15","Contingency Table Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Anderson-Darling Test","NOT_APPLICABLE","APPLICABLE","wrong"
"16","Distribution Compliance Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","APPLICABLE","wrong"
"16","Distribution Compliance Test","Lilliefors Test","NOT_APPLICABLE","APPLICABLE","wrong"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"16","Distribution Compliance Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Lilliefors Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Chi-square Independence Test","APPLICABLE","APPLICABLE","correct"
"17","Contingency Table Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"17","Contingency Table Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Lilliefors Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Chi-square Independence Test","APPLICABLE","APPLICABLE","correct"
"18","Contingency Table Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Mood Variance Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Levene Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Spearman Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Pearson Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Kendall Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"18","Contingency Table Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Kolmogorov-Smirnov Test for Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Kolmogorov-Smirnov Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Lilliefors Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Kolmogorov-Smirnov Test for Uniform distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Fisher Exact Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Kolmogorov-Smirnov Test for Gamma distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Chi-square Independence Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Kolmogorov-Smirnov Test for Exponential distribution","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Mean","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Median","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Range","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Mantel-Haenszel Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Quartile","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Mode","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Standard Deviation","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Skewness","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Kurtosis","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Bartlett Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"19","Variance Test","Levene Test","APPLICABLE","APPLICABLE","correct"
"19","Variance Test","Mood Variance Test","NOT_APPLICABLE","APPLICABLE","wrong"
"20","Correlation Analysis","Pearson Correlation Coefficient","NOT_APPLICABLE","APPLICABLE","wrong"
"20","Correlation Analysis","Spearman Correlation Coefficient","APPLICABLE","APPLICABLE","correct"
"19","Variance Test","F-Test for Variance","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"20","Correlation Analysis","Kendall Correlation Coefficient","APPLICABLE","APPLICABLE","correct"
"20","Correlation Analysis","Partial Correlation Coefficient","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"20","Correlation Analysis","Anderson-Darling Test","NOT_APPLICABLE","NOT_APPLICABLE","correct"
"20","Correlation Analysis","Shapiro-Wilk Test of Normality","NOT_APPLICABLE","NOT_APPLICABLE","correct"
